"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BigData_Newz: CMS Open Data: Plotting an Invariant Mass Histogram in R https://t.co/mR1SaGWF7s https://t.co/fSHZFtK7yW",FALSE,0,NA,2017-11-21 22:46:11,FALSE,NA,"933104281162362880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edu2megu",4,TRUE,FALSE,NA,NA
"Study: Data Analytics ROI in Higher Education Is Painfully Low
https://t.co/QyNByej3CV",FALSE,0,NA,2017-11-28 19:56:05,FALSE,NA,"935598187129266178",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AxiomHigherEd",0,FALSE,FALSE,NA,NA
"@IVIattCooper @MKRocks @RoKhanna UK's biggest issue is space: you have none with a burgeoning population. Living in… https://t.co/TOfS39y855",FALSE,0,"IVIattCooper",2017-11-21 22:46:14,TRUE,"933103643342942208","933104293963620353","600938165","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DarelBoyer",0,FALSE,FALSE,NA,NA
"https://t.co/6PqDOUmhzR You never know the subtle differences - do UK students really not shift uni? compare… https://t.co/9YOinZiCV8",FALSE,1,NA,2017-11-21 22:47:25,TRUE,NA,"933104593331830786",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","conorkingIRU",0,FALSE,FALSE,NA,NA
"Uber compromised the personal information of 57 million people - users and drivers. Then, they lied about it, and p… https://t.co/YVzL7ojQXd",FALSE,18,NA,2017-11-21 22:47:51,TRUE,NA,"933104699493904384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","funnymonkey",14,FALSE,FALSE,NA,NA
"RT @JeffJacksonNC: A comprehensive new study of *five decades* of data shows that high-quality early childhood education significantly incr…",FALSE,0,NA,2017-11-28 16:51:55,FALSE,NA,"935551843190693888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chris_kukla",10,TRUE,FALSE,NA,NA
"One of the best beginner courses @Google for learning to use free Google Analytics tool for Data #Analytics of your… https://t.co/uDHJlj5BKJ",FALSE,4,NA,2017-11-21 22:49:20,TRUE,NA,"933105072740876288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LauAnshul",0,FALSE,FALSE,NA,NA
"RT @DataEdUK: How many emails does your school generate &amp; hold? One had 15,000 on a child who submitted a subject access request
https://t.…",FALSE,0,NA,2017-11-21 22:50:03,FALSE,NA,"933105254001934337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Improveitltd",1,TRUE,FALSE,NA,NA
"RT @cantorrac: .@Ed4Excellence and @EdTrustNY file #FOIL request for data on #ATR teachers placed in @NYCSchools @The74 @cantorrac https://…",FALSE,0,NA,2017-11-28 16:51:02,FALSE,NA,"935551619311325184",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","StudentsFirstNY",4,TRUE,FALSE,NA,NA
"RT @thecrisismag: A total of 3.9 million undergrads with federal student loan debt dropped out during fiscal years 2015 and 2016. https://t…",FALSE,0,NA,2017-11-21 22:54:45,FALSE,NA,"933106435726237696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DbleThink",18,TRUE,FALSE,NA,NA
